"SampleID","depth"
"J_XYL_F_0001_01",5678
"J_XYL_F_0002_01",8522
"J_XYL_F_0003_01",8541
"J_XYL_F_0004_01",9807
"J_XYL_F_0005_01",11181
"J_XYL_F_0006_01",7431
"J_XYL_F_0010_01",11465
"J_XYL_F_0012_01",15433
"J_XYL_F_0013_01",9109
"J_XYL_F_0015_01",8510
"J_XYL_F_0016_01",9068
"J_XYL_F_0018_01",11570
"J_XYL_F_0020_01",11853
"J_XYL_F_0025_01",8041
"J_XYL_F_0031_01",12984
"J_XYL_F_0032_01",8175
"J_XYL_F_0034_01",11700
"J_XYL_F_0036_01",10001
"J_XYL_F_0043_01",13181
"J_XYL_F_0044_01",9363
"J_XYL_F_0045_01",11355
"J_XYL_F_0046_01",9197
"J_XYL_F_0047_01",12108
"J_XYL_F_0048_01",10803
"J_XYL_F_0050_01",13473
"J_XYL_F_0051_01",13536
"J_XYL_F_0053_01",13354
"J_XYL_F_0057_01",7227
"J_XYL_F_0058_01",11132
"J_XYL_F_0059_01",9394
"J_XYL_F_0060_01",8061
"J_XYL_F_0061_01",9239
"J_XYL_F_0062_01",11573
"J_XYL_F_0064_01",16482
"J_XYL_F_0065_01",12590
"J_XYL_F_0066_01",6061
"J_XYL_F_0001_02",15645
"J_XYL_F_0002_02",12778
"J_XYL_F_0003_02",16456
"J_XYL_F_0004_02",16945
"J_XYL_F_0005_02",9929
"J_XYL_F_0006_02",4085
"J_XYL_F_0010_02",12888
"J_XYL_F_0012_02",11669
"J_XYL_F_0013_02",11346
"J_XYL_F_0015_02",8709
"J_XYL_F_0016_02",6443
"J_XYL_F_0018_02",3878
"J_XYL_F_0020_02",6597
"J_XYL_F_0025_02",11860
"J_XYL_F_0031_02",9156
"J_XYL_F_0032_02",9989
"J_XYL_F_0034_02",13130
"J_XYL_F_0036_02",6652
"J_XYL_F_0043_2",5679
"J_XYL_F_0044_02",7915
"J_XYL_F_0045_2",18120
"J_XYL_F_0046_02",11174
"J_XYL_F_0047_02",10239
"J_XYL_F_0049_02",10344
"J_XYL_F_0050_02",1624
"J_XYL_F_0051_02",6733
"J_XYL_F_0053_02",8164
"J_XYL_F_0057_02",9671
"J_XYL_F_0058_02",9806
"J_XYL_F_0059_02",11135
"J_XYL_F_0060_02",11433
"J_XYL_F_0061_02",6288
"J_XYL_F_0062_02",9406
"J_XYL_F_0064_02",8848
"J_XYL_F_0065_02",10205
"J_XYL_F_0066_02",16077
"K_XYL_F_0001_01",7633
"K_XYL_F_0002_01",15840
"K_XYL_F_0003_01",7235
"K_XYL_F_0004_01",8130
"K_XYL_F_0005_01",4502
"K_XYL_F_0007_01",9476
"K_XYL_F_0008_01",7076
"K_XYL_F_0009_01",6008
"K_XYL_F_0011_01",7070
"K_XYL_F_0012_01",9321
"K_XYL_F_0013_01",6224
"K_XYL_F_0017_01",13776
"K_XYL_F_0018_01",11356
"K_XYL_F_0022_01",7995
"K_XYL_F_0028_01",6853
"K_XYL_F_0030_03",13461
"K_XYL_F_0033_01",10622
"K_XYL_F_0035_01",10068
"K_XYL_F_0036_01",11930
"K_XYL_F_0037_01",9631
"K_XYL_F_0038_01",11901
"K_XYL_F_0039_01",10989
"K_XYL_F_0042_01",10189
"K_XYL_F_0043_01",12107
"K_XYL_F_0044_01",10586
"K_XYL_F_0045_01",12044
"K_XYL_F_0046_01",11410
"K_XYL_F_0047_01",9023
"K_XYL_F_0048_01",13976
"K_XYL_F_0001_02",20283
"K_XYL_F_0002_02",13651
"K_XYL_F_0003_02",13403
"K_XYL_F_0004_02",16431
"K_XYL_F_0005_02",10440
"K_XYL_F_0007_02",10786
"K_XYL_F_0008_02",8202
"K_XYL_F_0009_02",9819
"K_XYL_F_0011_02",7900
"K_XYL_F_0012_02",12953
"K_XYL_F_0013_02",11346
"K_XYL_F_0017_02",11059
"K_XYL_F_0018_02",7315
"K_XYL_F_0022_02",12776
"K_XYL_F_0028_02",5578
"K_XYL_F_0030_02",6788
"K_XYL_F_0033_02",12446
"K_XYL_F_0035_02",9904
"K_XYL_F_0036_02",9147
"K_XYL_F_0037_02",11231
"K_XYL_F_0038_02",17575
"K_XYL_F_0039_02",9004
"K_XYL_F_0042_02",7780
"K_XYL_F_0043_02",12731
"K_XYL_F_0044_02",11296
"K_XYL_F_0045_02",13183
"K_XYL_F_0046_02",13977
"K_XYL_F_0047_02",9732
"K_XYL_F_0048_02",6429
